wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
45.004,1782021551.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
45.504,1782021551.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
46.004,1782021552.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
46.504,1782021552.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.83,-10.094,-138.5,-4.042,-15.004,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.63,544
47.004,1782021553.1,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.843,-10.083,-138.5,-4.026,-15.008,-1,ok,99,ok,53,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,2.646,546
47.504,1782021553.6,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,"pose_global_lethal,plan_not_in_local_costmap",6.929,-10.007,-138.5,-3.915,-15.033,-1,ok,99,ok,0,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,0.557,579
48.004,1782021554.1,8,"heading to waypoint #8 (3.6, -11.3)",plan_not_in_local_costmap,plan_not_in_local_costmap,7.01,-9.936,-138.5,-3.809,-15.056,-1,ok,-1,ok,0,ok,24,0,0,0,0,ok,24,24,24,0,0,ok,0.619,586
48.505,1782021554.601,8,"heading to waypoint #8 (3.6, -11.3)",ok,,7.022,-9.908,-143.1,-3.738,-15.072,-1,ok,-1,ok,0,ok,98,35,11,10,0,ok,98,98,60,0,36,ok,0.685,582
49.005,1782021555.101,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,pose_global_lethal,6.889,-10.158,-105.7,-3.901,-15.104,-1,ok,99,ok,0,ok,98,38,14,14,0,ok,98,98,60,0,36,ok,0.607,585
49.506,1782021555.601,8,"heading to waypoint #8 (3.6, -11.3)",pose_global_lethal,pose_global_lethal,6.908,-10.26,-70.8,-4.112,-15.346,-1,ok,99,ok,53,ok,98,41,20,3,0,ok,98,98,60,0,36,ok,2.588,551
